# This file is generated on 25-Nov-2021 at 17:08:07 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 3.7500e+01, 6.8362e-01, 3.0000e+00
1, 1, 3.7500e+01, 5.0076e-01, 5.1000e+00
1, 1, 3.7500e+01, 3.4281e-01, 8.3000e+00
1, 1, 3.7500e+01, 2.3433e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.1320e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.0831e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.4204e-02, 4.0000e+01
1, 1, 3.7500e+01, 1.3067e-03, 5.0000e+01
1, 1, 3.7500e+01, 4.7263e-06, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.7869e+00, 1.0000e-02
1, 1, 3.7500e+01, 1.7869e+00, 1.6000e-02
1, 1, 3.7500e+01, 1.7869e+00, 2.7000e-02
1, 1, 3.7500e+01, 1.7869e+00, 4.5000e-02
1, 1, 3.7500e+01, 1.7869e+00, 7.7000e-02
1, 1, 3.7500e+01, 1.7087e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.5643e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.3972e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.2142e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.0491e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.5934e-01, 1.7000e+00
1, 1, 3.7500e+01, 6.8362e-01, 3.0000e+00
1, 1, 3.7500e+01, 5.0076e-01, 5.1000e+00
1, 1, 3.7500e+01, 3.4281e-01, 8.3000e+00
1, 1, 3.7500e+01, 2.3433e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.1320e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.0831e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.4204e-02, 4.0000e+01
1, 1, 3.7500e+01, 1.3067e-03, 5.0000e+01
1, 1, 3.7500e+01, 4.7263e-06, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.7869e+00, 1.0000e-02
1, 1, 3.7500e+01, 1.7869e+00, 1.6000e-02
1, 1, 3.7500e+01, 1.7869e+00, 2.7000e-02
1, 1, 3.7500e+01, 1.7869e+00, 4.5000e-02
1, 1, 3.7500e+01, 1.7869e+00, 7.7000e-02
1, 1, 3.7500e+01, 1.7087e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.5643e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.3972e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.2142e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.0491e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.5934e-01, 1.7000e+00
1, 1, 3.7500e+01, 6.8362e-01, 3.0000e+00
1, 1, 3.7500e+01, 5.0076e-01, 5.1000e+00
1, 1, 3.7500e+01, 3.4281e-01, 8.3000e+00
1, 1, 3.7500e+01, 2.3433e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.1320e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.0831e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.4204e-02, 4.0000e+01
1, 1, 3.7500e+01, 1.3067e-03, 5.0000e+01
1, 1, 3.7500e+01, 4.7263e-06, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.7869e+00, 1.0000e-02
1, 1, 3.7500e+01, 1.7869e+00, 1.6000e-02
1, 1, 3.7500e+01, 1.7869e+00, 2.7000e-02
1, 1, 3.7500e+01, 1.7869e+00, 4.5000e-02
1, 1, 3.7500e+01, 1.7869e+00, 7.7000e-02
1, 1, 3.7500e+01, 1.7087e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.5643e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.3972e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.2142e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.0491e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.5934e-01, 1.7000e+00
1, 1, 3.7500e+01, 6.8362e-01, 3.0000e+00
1, 1, 3.7500e+01, 5.0076e-01, 5.1000e+00
1, 1, 3.7500e+01, 3.4281e-01, 8.3000e+00
1, 1, 3.7500e+01, 2.3433e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.1320e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.0831e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.4204e-02, 4.0000e+01
1, 1, 3.7500e+01, 1.3067e-03, 5.0000e+01
1, 1, 3.7500e+01, 4.7263e-06, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.7869e+00, 1.0000e-02
1, 1, 3.7500e+01, 1.7869e+00, 1.6000e-02
1, 1, 3.7500e+01, 1.7869e+00, 2.7000e-02
1, 1, 3.7500e+01, 1.7869e+00, 4.5000e-02
1, 1, 3.7500e+01, 1.7869e+00, 7.7000e-02
1, 1, 3.7500e+01, 1.7087e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.5643e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.3972e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.2142e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.0491e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.5934e-01, 1.7000e+00
1, 1, 3.7500e+01, 6.8362e-01, 3.0000e+00
1, 1, 3.7500e+01, 5.0076e-01, 5.1000e+00
1, 1, 3.7500e+01, 3.4281e-01, 8.3000e+00
1, 1, 3.7500e+01, 2.3433e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.1320e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.0831e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.4204e-02, 4.0000e+01
1, 1, 3.7500e+01, 1.3067e-03, 5.0000e+01
1, 1, 3.7500e+01, 4.7263e-06, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.7869e+00, 1.0000e-02
1, 1, 3.7500e+01, 1.7869e+00, 1.6000e-02
1, 1, 3.7500e+01, 1.7869e+00, 2.7000e-02
1, 1, 3.7500e+01, 1.7869e+00, 4.5000e-02
1, 1, 3.7500e+01, 1.7869e+00, 7.7000e-02
1, 1, 3.7500e+01, 1.7087e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.5643e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.3972e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.2142e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.0491e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.5934e-01, 1.7000e+00
1, 1, 3.7500e+01, 6.8362e-01, 3.0000e+00
1, 1, 3.7500e+01, 5.0076e-01, 5.1000e+00
1, 1, 3.7500e+01, 3.4281e-01, 8.3000e+00
1, 1, 3.7500e+01, 2.3433e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.1320e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.0831e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.4204e-02, 4.0000e+01
1, 1, 3.7500e+01, 1.3067e-03, 5.0000e+01
1, 1, 3.7500e+01, 4.7263e-06, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 1.7869e+00, 1.0000e-02
1, 1, 3.7500e+01, 1.7869e+00, 1.6000e-02
1, 1, 3.7500e+01, 1.7869e+00, 2.7000e-02
1, 1, 3.7500e+01, 1.7869e+00, 4.5000e-02
1, 1, 3.7500e+01, 1.7869e+00, 7.7000e-02
1, 1, 3.7500e+01, 1.7087e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.5643e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.3972e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.2142e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.0491e+00, 9.5000e-01
1, 1, 3.7500e+01, 8.5934e-01, 1.7000e+00
1, 1, 3.7500e+01, 6.8362e-01, 3.0000e+00
1, 1, 3.7500e+01, 5.0076e-01, 5.1000e+00
1, 1, 3.7500e+01, 3.4281e-01, 8.3000e+00
1, 1, 3.7500e+01, 2.3433e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.1320e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.0831e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.4204e-02, 4.0000e+01
1, 1, 3.7500e+01, 1.3067e-03, 5.0000e+01
1, 1, 3.7500e+01, 4.7263e-06, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.3216e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.1485e+00, 6.0000e-01
1, 2, 3.7500e+01, 9.9229e-01, 9.5000e-01
1, 2, 3.7500e+01, 8.1283e-01, 1.7000e+00
1, 2, 3.7500e+01, 6.4662e-01, 3.0000e+00
1, 2, 3.7500e+01, 4.7365e-01, 5.1000e+00
1, 2, 3.7500e+01, 3.2426e-01, 8.3000e+00
1, 2, 3.7500e+01, 2.2165e-01, 1.2000e+01
1, 2, 3.7500e+01, 1.0708e-01, 1.9000e+01
1, 2, 3.7500e+01, 2.9163e-02, 3.0000e+01
1, 2, 3.7500e+01, 1.3435e-02, 4.0000e+01
1, 2, 3.7500e+01, 1.2359e-03, 5.0000e+01
1, 2, 3.7500e+01, 4.4705e-06, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 1.6902e+00, 1.0000e-02
1, 2, 3.7500e+01, 1.6902e+00, 1.6000e-02
1, 2, 3.7500e+01, 1.6902e+00, 2.7000e-02
1, 2, 3.7500e+01, 1.6902e+00, 4.5000e-02
1, 2, 3.7500e+01, 1.6902e+00, 7.7000e-02
1, 2, 3.7500e+01, 1.6162e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.4796e+00, 2.1000e-01
