# This file is generated on 25-Nov-2021 at 17:02:36 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 3.7500e+01, 8.4004e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.3395e-01, 8.3000e+00
1, 1, 3.7500e+01, 4.7435e-01, 1.2000e+01
1, 1, 3.7500e+01, 2.7082e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.0458e-01, 3.0000e+01
1, 1, 3.7500e+01, 4.9723e-02, 4.0000e+01
1, 1, 3.7500e+01, 7.1734e-03, 5.0000e+01
1, 1, 3.7500e+01, 2.8219e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2014e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.2014e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.2014e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.2014e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.2014e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.1298e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.9973e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.8418e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.6705e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.5098e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.2857e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.0697e+00, 3.0000e+00
1, 1, 3.7500e+01, 8.4004e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.3395e-01, 8.3000e+00
1, 1, 3.7500e+01, 4.7435e-01, 1.2000e+01
1, 1, 3.7500e+01, 2.7082e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.0458e-01, 3.0000e+01
1, 1, 3.7500e+01, 4.9723e-02, 4.0000e+01
1, 1, 3.7500e+01, 7.1734e-03, 5.0000e+01
1, 1, 3.7500e+01, 2.8219e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2014e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.2014e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.2014e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.2014e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.2014e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.1298e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.9973e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.8418e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.6705e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.5098e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.2857e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.0697e+00, 3.0000e+00
1, 1, 3.7500e+01, 8.4004e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.3395e-01, 8.3000e+00
1, 1, 3.7500e+01, 4.7435e-01, 1.2000e+01
1, 1, 3.7500e+01, 2.7082e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.0458e-01, 3.0000e+01
1, 1, 3.7500e+01, 4.9723e-02, 4.0000e+01
1, 1, 3.7500e+01, 7.1734e-03, 5.0000e+01
1, 1, 3.7500e+01, 2.8219e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2014e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.2014e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.2014e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.2014e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.2014e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.1298e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.9973e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.8418e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.6705e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.5098e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.2857e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.0697e+00, 3.0000e+00
1, 1, 3.7500e+01, 8.4004e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.3395e-01, 8.3000e+00
1, 1, 3.7500e+01, 4.7435e-01, 1.2000e+01
1, 1, 3.7500e+01, 2.7082e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.0458e-01, 3.0000e+01
1, 1, 3.7500e+01, 4.9723e-02, 4.0000e+01
1, 1, 3.7500e+01, 7.1734e-03, 5.0000e+01
1, 1, 3.7500e+01, 2.8219e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2014e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.2014e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.2014e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.2014e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.2014e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.1298e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.9973e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.8418e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.6705e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.5098e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.2857e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.0697e+00, 3.0000e+00
1, 1, 3.7500e+01, 8.4004e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.3395e-01, 8.3000e+00
1, 1, 3.7500e+01, 4.7435e-01, 1.2000e+01
1, 1, 3.7500e+01, 2.7082e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.0458e-01, 3.0000e+01
1, 1, 3.7500e+01, 4.9723e-02, 4.0000e+01
1, 1, 3.7500e+01, 7.1734e-03, 5.0000e+01
1, 1, 3.7500e+01, 2.8219e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2014e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.2014e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.2014e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.2014e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.2014e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.1298e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.9973e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.8418e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.6705e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.5098e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.2857e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.0697e+00, 3.0000e+00
1, 1, 3.7500e+01, 8.4004e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.3395e-01, 8.3000e+00
1, 1, 3.7500e+01, 4.7435e-01, 1.2000e+01
1, 1, 3.7500e+01, 2.7082e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.0458e-01, 3.0000e+01
1, 1, 3.7500e+01, 4.9723e-02, 4.0000e+01
1, 1, 3.7500e+01, 7.1734e-03, 5.0000e+01
1, 1, 3.7500e+01, 2.8219e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 1, 3.7500e+01, 2.2014e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.2014e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.2014e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.2014e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.2014e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.1298e+00, 1.3000e-01
1, 1, 3.7500e+01, 1.9973e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.8418e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.6705e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.5098e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.2857e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.0697e+00, 3.0000e+00
1, 1, 3.7500e+01, 8.4004e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.3395e-01, 8.3000e+00
1, 1, 3.7500e+01, 4.7435e-01, 1.2000e+01
1, 1, 3.7500e+01, 2.7082e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.0458e-01, 3.0000e+01
1, 1, 3.7500e+01, 4.9723e-02, 4.0000e+01
1, 1, 3.7500e+01, 7.1734e-03, 5.0000e+01
1, 1, 3.7500e+01, 2.8219e-05, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
1, 2, 3.7500e+01, 1.5800e+00, 6.0000e-01
1, 2, 3.7500e+01, 1.4281e+00, 9.5000e-01
1, 2, 3.7500e+01, 1.2161e+00, 1.7000e+00
1, 2, 3.7500e+01, 1.0118e+00, 3.0000e+00
1, 2, 3.7500e+01, 7.9457e-01, 5.1000e+00
1, 2, 3.7500e+01, 5.9964e-01, 8.3000e+00
1, 2, 3.7500e+01, 4.4868e-01, 1.2000e+01
1, 2, 3.7500e+01, 2.5616e-01, 1.9000e+01
1, 2, 3.7500e+01, 9.8918e-02, 3.0000e+01
1, 2, 3.7500e+01, 4.7032e-02, 4.0000e+01
1, 2, 3.7500e+01, 6.7852e-03, 5.0000e+01
1, 2, 3.7500e+01, 2.6692e-05, 6.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 7.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 2, 3.7500e+01, 0.0000e+00, 9.9990e+01
1, 2, 3.7500e+01, 2.0822e+00, 1.0000e-02
1, 2, 3.7500e+01, 2.0822e+00, 1.6000e-02
1, 2, 3.7500e+01, 2.0822e+00, 2.7000e-02
1, 2, 3.7500e+01, 2.0822e+00, 4.5000e-02
1, 2, 3.7500e+01, 2.0822e+00, 7.7000e-02
1, 2, 3.7500e+01, 2.0145e+00, 1.3000e-01
1, 2, 3.7500e+01, 1.8892e+00, 2.1000e-01
1, 2, 3.7500e+01, 1.7421e+00, 3.5000e-01
